|         535 |   65 | Male   | Gloves         | Accessories |              72 | Florida        | L    | Pink      | Fall   |           4.5 | Yes      | Next Day Air   | Yes              |                  4 | PayPal         | Quarterly              | Senior      |                      90 |
|        1044 |   28 | Male   | Jeans          | Clothing    |              76 | Hawaii         | M    | Green     | Spring |           3.3 | Yes      | 2-Day Shipping | Yes              |                 28 | Debit Card     | Fortnightly            | Young Adult |                      14 |
|        1045 |   39 | Male   | Jeans          | Clothing    |              30 | Oregon         | L    | Teal      | Summer |           4.4 | Yes      | Next Day Air   | Yes              |                 17 | Bank Transfer  | Every 3 Months         | Adult       |                      90 |
|        1046 |   54 | Male   | Sweater        | Clothing    |              79 | New Mexico     | L    | Black     | Fall   |           3.5 | Yes      | 2-Day Shipping | Yes              |                 11 | PayPal         | Bi-Weekly              | Middle-Aged |                      14 |
|        1047 |   40 | Male   | Sneakers       | Footwear    |              22 | Illinois       | M    | Magenta   | Winter |           4.2 | Yes      | Standard       | Yes              |                 12 | Venmo          | Annually               | Adult       |                     365 |
|        1048 |   31 | Male   | Socks          | Clothing    |              36 | Utah           | S    | Olive     | Fall   |           4.2 | Yes      | Standard       | Yes              |                  7 | Credit Card    | Fortnightly            | Young Adult |                      14 |
|        1049 |   30 | Male   | Socks          | Clothing    |              77 | Maine          | L    | Yellow    | Fall   |           2.7 | Yes      | Standard       | Yes              |                 19 | Venmo          | Fortnightly            | Young Adult |                      14 |
|        1050 |   45 | Male   | Sunglasses     | Accessories |              33 | Virginia       | S    | Purple    | Fall   |           2.8 | Yes      | Store Pickup   | Yes              |                 24 | Cash           | Quarterly              | Middle-Aged |                      90 |
|        1051 |   48 | Male   | Sneakers       | Footwear    |              64 | Florida        | M    | Beige     | Winter |           3.8 | Yes      | Next Day Air   | Yes              |                 19 | Venmo          | Monthly                | Middle-Aged |                      30 |
|        1052 |   45 | Male   | Socks          | Clothing    |              53 | Ohio           | M    | Indigo    | Fall   |           2.6 | Yes      | Free Shipping  | Yes              |                 39 | PayPal         | Annually               | Middle-Aged |                     365 |
|        1053 |   60 | Male   | Shoes          | Footwear    |              36 | Virginia       | XL   | Pink      | Fall   |             3 | Yes      | 2-Day Shipping | Yes              |                  1 | Credit Card    | Fortnightly            | Senior      |                      14 |
|        1054 |   59 | Male   | Blouse         | Clothing    |              70 | Kansas         | M    | Blue      | Spring |           3.3 | No      | 2-Day Shipping | Yes              |                 10 | Debit Card     | Bi-Weekly              | Senior      |                      14 |
|        1055 |   18 | Male   | Shorts         | Clothing    |              96 | Arkansas       | L    | Cyan      | Winter |           4.9 | No      | Express        | Yes              |                 48 | PayPal         | Quarterly              | Young Adult |                      90 |
|        1056 |   70 | Male   | Jacket         | Outerwear   |              27 | Massachusetts  | M    | Orange    | Spring |           3.3 | No      | Next Day Air   | Yes              |                 24 | Debit Card     | Annually               | Senior      |                     365 |
|        1057 |   20 | Male   | Sweater        | Clothing    |              64 | Idaho          | L    | Black     | Winter |           2.9 | No      | 2-Day Shipping | Yes              |                 42 | Venmo          | Fortnightly            | Young Adult |                      14 |
|        1058 |   65 | Male   | Jacket         | Outerwear   |              23 | Wisconsin      | S    | Maroon    | Spring |           4.4 | No      | 2-Day Shipping | Yes              |                 20 | Credit Card    | Weekly                 | Senior      |                       7 |
|        1059 |   29 | Male   | Scarf          | Accessories |              33 | New Mexico     | L    | Violet    | Summer |           3.1 | No      | Next Day Air   | Yes              |                 49 | Bank Transfer  | Every 3 Months         | Young Adult |                      90 |
|        1060 |   22 | Male   | Jacket         | Outerwear   |              34 | North Carolina | M    | Beige     | Winter |           2.5 | No      | Standard       | Yes              |                 25 | Debit Card     | Monthly                | Young Adult |                      30 |
|        1061 |   27 | Male   | Sweater        | Clothing    |              35 | Iowa           | S    | Gray      | Summer |           2.6 | No      | Next Day Air   | Yes              |                 21 | Debit Card     | Every 3 Months         | Young Adult |                      90 |
|        1062 |   36 | Male   | Coat           | Outerwear   |              62 | Idaho          | M    | Gray      | Summer |           4.4 | No      | Free Shipping  | Yes              |                 12 | Venmo          | Every 3 Months         | Adult       |                      90 |
|        1063 |   59 | Male   | Boots          | Footwear    |              75 | Ohio           | M    | Brown     | Fall   |           2.6 | No      | Next Day Air   | Yes              |                 21 | Debit Card     | Every 3 Months         | Senior      |                      90 |
|        1064 |   62 | Male   | Hoodie         | Clothing    |              29 | Alabama        | S    | Indigo    | Summer |           3.3 | No      | Free Shipping  | Yes              |                 35 | Cash           | Monthly                | Senior      |                      30 |
|        1065 |   34 | Male   | Hat            | Accessories |              28 | Wyoming        | M    | Violet    | Spring |           3.5 | No      | Express        | Yes              |                 42 | Credit Card    | Every 3 Months         | Adult       |                      90 |
|        1066 |   59 | Male   | T-shirt        | Clothing    |              20 | Alabama        | XL   | Blue      | Spring |           4.1 | No      | Store Pickup   | Yes              |                  3 | PayPal         | Every 3 Months         | Senior      |                      90 |
|        1067 |   49 | Male   | Coat           | Outerwear   |              96 | Mississippi    | M    | Red       | Winter |             4 | No      | Store Pickup   | Yes              |                 11 | PayPal         | Bi-Weekly              | Middle-Aged |                      14 |
|        1068 |   18 | Male   | Dress          | Clothing    |              43 | Pennsylvania   | S    | Peach     | Summer |           2.7 | No      | 2-Day Shipping | Yes              |                 22 | PayPal         | Quarterly              | Young Adult |                      90 |
|        1069 |   55 | Male   | Shirt          | Clothing    |              94 | Wyoming        | M    | Olive     | Fall   |           2.5 | No      | Standard       | Yes              |                 47 | Credit Card    | Weekly                 | Middle-Aged |                       7 |
|        1070 |   38 | Male   | Skirt          | Clothing    |              81 | Maryland       | XL   | White     | Fall   |           4.3 | No      | Next Day Air   | Yes              |                 33 | Venmo          | Every 3 Months         | Adult       |                      90 |
|        1071 |   50 | Male   | Jewelry        | Accessories |              75 | North Carolina | M    | Magenta   | Summer |           3.3 | No      | Free Shipping  | Yes              |                 50 | Debit Card     | Weekly                 | Middle-Aged |                       7 |
|        1072 |   61 | Male   | Hat            | Accessories |              81 | Pennsylvania   | M    | Beige     | Summer |           2.6 | No      | Express        | Yes              |                 46 | Credit Card    | Monthly                | Senior      |                      30 |
|        1073 |   48 | Male   | Shorts         | Clothing    |              92 | Idaho          | L    | Gold      | Fall   |           3.5 | No      | Express        | Yes              |                 34 | Debit Card     | Fortnightly            | Middle-Aged |                      14 |
|        1074 |   22 | Male   | Scarf          | Accessories |              96 | California     | XL   | Purple    | Spring |             4 | No      | Store Pickup   | Yes              |                 33 | Credit Card    | Monthly                | Young Adult |                      30 |
|        1075 |   48 | Male   | Jewelry        | Accessories |              71 | Tennessee      | S    | White     | Fall   |           2.6 | No      | Standard       | Yes              |                 45 | Bank Transfer  | Fortnightly            | Middle-Aged |                      14 |
|        1076 |   57 | Male   | Sunglasses     | Accessories |              50 | Missouri       | L    | Indigo    | Summer |           4.9 | No      | Next Day Air   | Yes              |                 32 | Debit Card     | Bi-Weekly              | Middle-Aged |                      14 |
|        1077 |   33 | Male   | Coat           | Outerwear   |              72 | North Dakota   | L    | Charcoal  | Spring |           2.9 | No      | Standard       | Yes              |                 47 | Venmo          | Bi-Weekly              | Adult       |                      14 |
|        1078 |   58 | Male   | Jacket         | Outerwear   |              28 | West Virginia  | M    | Pink      | Winter |           3.7 | No      | Standard       | Yes              |                  5 | PayPal         | Quarterly              | Senior      |                      90 |
|        1079 |   37 | Male   | Sweater        | Clothing    |              59 | Arizona        | M    | Silver    | Fall   |           4.4 | No      | Express        | Yes              |                 49 | Credit Card    | Fortnightly            | Adult       |                      14 |
|        1080 |   18 | Male   | Coat           | Outerwear   |              33 | Oklahoma       | S    | Blue      | Summer |           4.4 | No      | Free Shipping  | Yes              |                 48 | Bank Transfer  | Monthly                | Young Adult |                      30 |
|        1081 |   65 | Male   | Scarf          | Accessories |              59 | Pennsylvania   | L    | Blue      | Fall   |           3.8 | No      | Express        | Yes              |                 22 | Cash           | Every 3 Months         | Senior      |                      90 |
|        1082 |   62 | Male   | Belt           | Accessories |              30 | Idaho          | XL   | Brown     | Spring |           4.5 | No      | Standard       | Yes              |                 45 | Credit Card    | Annually               | Senior      |                     365 |
|        1083 |   54 | Male   | Hat            | Accessories |              85 | South Carolina | XL   | Cyan      | Winter |           2.6 | No      | Next Day Air   | Yes              |                 30 | Venmo          | Quarterly              | Middle-Aged |                      90 |
|        1084 |   35 | Male   | Backpack       | Accessories |              97 | Washington     | L    | Teal      | Summer |           3.3 | No      | Store Pickup   | Yes              |                 43 | Cash           | Weekly                 | Adult       |                       7 |
|        1085 |   34 | Male   | T-shirt        | Clothing    |              36 | Arkansas       | S    | Purple    | Fall   |           4.1 | No      | Next Day Air   | Yes              |                 48 | Cash           | Quarterly              | Adult       |                      90 |
|        1086 |   25 | Male   | Jewelry        | Accessories |              85 | Utah           | M    | Turquoise | Winter |             3 | No      | Store Pickup   | Yes              |                 23 | Venmo          | Fortnightly            | Young Adult |                      14 |
|        1087 |   53 | Male   | Sunglasses     | Accessories |              62 | Alaska         | M    | Olive     | Winter |             3 | No      | Free Shipping  | Yes              |                 27 | PayPal         | Bi-Weekly              | Middle-Aged |                      14 |
|        1088 |   45 | Male   | Jeans          | Clothing    |              71 | West Virginia  | S    | White     | Winter |           3.4 | No      | Next Day Air   | Yes              |                  7 | Bank Transfer  | Monthly                | Middle-Aged |                      30 |
|        1089 |   49 | Male   | Pants          | Clothing    |              21 | Louisiana      | M    | Turquoise | Winter |           2.7 | No      | Free Shipping  | Yes              |                  2 | PayPal         | Weekly                 | Middle-Aged |                       7 |
|        1090 |   40 | Male   | Backpack       | Accessories |              61 | Arizona        | M    | Silver    | Spring |           3.8 | No      | Next Day Air   | Yes              |                 33 | PayPal         | Bi-Weekly              | Adult       |                      14 |
|        1091 |   38 | Male   | Scarf          | Accessories |              58 | Connecticut    | M    | Violet    | Spring |           4.2 | No      | Store Pickup   | Yes              |                 27 | Cash           | Fortnightly            | Adult       |                      14 |
|        1092 |   44 | Male   | Sweater        | Clothing    |              80 | North Carolina | L    | Lavender  | Spring |           4.7 | No      | Store Pickup   | Yes              |                  6 | Credit Card    | Fortnightly            | Adult       |                      14 |
|        1093 |   68 | Male   | Jewelry        | Accessories |              50 | South Dakota   | L    | Magenta   | Spring |           4.1 | No      | 2-Day Shipping | Yes              |                 20 | Venmo          | Quarterly              | Senior      |                      90 |
|        1094 |   60 | Male   | Sneakers       | Footwear    |              48 | Delaware       | S    | Indigo    | Winter |           4.2 | No      | 2-Day Shipping | Yes              |                 46 | Venmo          | Every 3 Months         | Senior      |                      90 |
|        1095 |   25 | Male   | Jewelry        | Accessories |              40 | Connecticut    | M    | Black     | Winter |           4.8 | No      | Next Day Air   | Yes              |                 25 | Cash           | Quarterly              | Young Adult |                      90 |
|        1096 |   19 | Male   | Coat           | Outerwear   |              34 | Tennessee      | S    | Peach     | Summer |             3 | No      | Free Shipping  | Yes              |                 30 | Bank Transfer  | Quarterly              | Young Adult |                      90 |
|        1097 |   57 | Male   | Coat           | Outerwear   |              46 | New Hampshire  | S    | Beige     | Fall   |           2.6 | No      | Standard       | Yes              |                 48 | Credit Card    | Annually               | Middle-Aged |                     365 |
|        1098 |   58 | Male   | Sunglasses     | Accessories |              27 | Vermont        | M    | Black     | Summer |           3.2 | No      | Store Pickup   | Yes              |                 47 | Bank Transfer  | Weekly                 | Senior      |                       7 |
|        1099 |   49 | Male   | Handbag        | Accessories |              98 | Idaho          | S    | Turquoise | Spring |           3.6 | No      | Next Day Air   | Yes              |                 27 | Credit Card    | Weekly                 | Middle-Aged |                       7 |
|        1100 |   19 | Male   | Sweater        | Clothing    |              73 | North Carolina | M    | Peach     | Fall   |           2.6 | No      | Next Day Air   | Yes              |                 45 | Bank Transfer  | Fortnightly            | Young Adult |                      14 |
|        1101 |   50 | Male   | Pants          | Clothing    |              28 | Nevada         | L    | Gold      | Spring |           4.4 | No      | Express        | Yes              |                  2 | Credit Card    | Weekly                 | Middle-Aged |                       7 |
|        1102 |   30 | Male   | Gloves         | Accessories |              76 | Delaware       | XL   | Silver    | Fall   |             3 | No      | Free Shipping  | Yes              |                 39 | Cash           | Fortnightly            | Young Adult |                      14 |
|        1103 |   52 | Male   | Sweater        | Clothing    |              83 | Texas          | M    | Peach     | Fall   |           2.9 | No      | Express        | Yes              |                 24 | Cash           | Fortnightly            | Middle-Aged |                      14 |
|        1104 |   35 | Male   | Hoodie         | Clothing    |              23 | Tennessee      | S    | Charcoal  | Spring |           4.3 | No      | Free Shipping  | Yes              |                  8 | Debit Card     | Bi-Weekly              | Adult       |                      14 |
|        1105 |   35 | Male   | Hat            | Accessories |              28 | Delaware       | M    | Beige     | Fall   |           3.1 | No      | Express        | Yes              |                  8 | Bank Transfer  | Quarterly              | Adult       |                      90 |
|        1106 |   33 | Male   | T-shirt        | Clothing    |              83 | Massachusetts  | S    | Olive     | Spring |             3 | No      | Next Day Air   | Yes              |                  6 | Venmo          | Every 3 Months         | Adult       |                      90 |
|        1107 |   52 | Male   | Skirt          | Clothing    |              96 | Minnesota      | L    | Violet    | Winter |           3.6 | No      | Store Pickup   | Yes              |                 12 | Venmo          | Fortnightly            | Middle-Aged |                      14 |
|        1108 |   69 | Male   | Sneakers       | Footwear    |              62 | Texas          | M    | Peach     | Fall   |           2.8 | No      | Store Pickup   | Yes              |                 26 | Bank Transfer  | Weekly                 | Senior      |                       7 |
|        1109 |   27 | Male   | Shorts         | Clothing    |              25 | Nebraska       | M    | Teal      | Fall   |           2.8 | No      | Standard       | Yes              |                 50 | Cash           | Fortnightly            | Young Adult |                      14 |
|        1110 |   66 | Male   | Hoodie         | Clothing    |              97 | Oklahoma       | L    | Violet    | Winter |           4.9 | No      | Next Day Air   | Yes              |                  2 | Venmo          | Weekly                 | Senior      |                       7 |
|        1111 |   28 | Male   | Hoodie         | Clothing    |              61 | Texas          | L    | Cyan      | Fall   |             3 | No      | Standard       | Yes              |                 31 | Cash           | Bi-Weekly              | Young Adult |                      14 |
|        1112 |   22 | Male   | Shoes          | Footwear    |              66 | New York       | S    | Olive     | Summer |           4.1 | No      | Next Day Air   | Yes              |                  4 | Credit Card    | Bi-Weekly              | Young Adult |                      14 |
|        1113 |   69 | Male   | Hoodie         | Clothing    |              67 | Washington     | XL   | Pink      | Spring |           4.6 | No      | Free Shipping  | Yes              |                 32 | PayPal         | Quarterly              | Senior      |                      90 |
|        1114 |   28 | Male   | Sunglasses     | Accessories |              80 | Maryland       | M    | Purple    | Summer |           4.8 | No      | Next Day Air   | Yes              |                 11 | PayPal         | Bi-Weekly              | Young Adult |                      14 |
|        1115 |   55 | Male   | Skirt          | Clothing    |              25 | New Hampshire  | L    | Violet    | Fall   |           2.6 | No      | Next Day Air   | Yes              |                 47 | Bank Transfer  | Every 3 Months         | Middle-Aged |                      90 |
|        1116 |   30 | Male   | Hat            | Accessories |              58 | New York       | S    | Peach     | Fall   |             4 | No      | 2-Day Shipping | Yes              |                 37 | Cash           | Weekly                 | Young Adult |                       7 |
|        1117 |   67 | Male   | Backpack       | Accessories |              96 | Hawaii         | M    | Charcoal  | Winter |           4.2 | No      | Express        | Yes              |                 39 | PayPal         | Fortnightly            | Senior      |                      14 |
|        1118 |   25 | Male   | Sunglasses     | Accessories |              77 | California     | L    | Lavender  | Spring |           4.5 | No      | Store Pickup   | Yes              |                 24 | Credit Card    | Monthly                | Young Adult |                      30 |
|        1119 |   49 | Male   | Belt           | Accessories |              65 | Indiana        | M    | Purple    | Summer |           4.9 | No      | Standard       | Yes              |                 11 | PayPal         | Every 3 Months         | Middle-Aged |                      90 |
|        1120 |   34 | Male   | Jewelry        | Accessories |              36 | Louisiana      | M    | Indigo    | Spring |           3.1 | No      | Standard       | Yes              |                 36 | Credit Card    | Weekly                 | Adult       |                       7 |
|        1121 |   22 | Male   | Sneakers       | Footwear    |              84 | Pennsylvania   | M    | Magenta   | Winter |             4 | No      | Next Day Air   | Yes              |                 40 | Debit Card     | Monthly                | Young Adult |                      30 |
|        1122 |   63 | Male   | T-shirt        | Clothing    |              58 | Florida        | XL   | Peach     | Fall   |           3.2 | No      | Express        | Yes              |                 25 | Cash           | Quarterly              | Senior      |                      90 |
|        1123 |   70 | Male   | Handbag        | Accessories |              62 | North Carolina | S    | Charcoal  | Spring |           4.3 | No      | 2-Day Shipping | Yes              |                 12 | Credit Card    | Annually               | Senior      |                     365 |
|        1124 |   36 | Male   | Hat            | Accessories |              67 | Massachusetts  | S    | Purple    | Fall   |           2.5 | No      | Store Pickup   | Yes              |                 38 | Cash           | Monthly                | Adult       |                      30 |
|        1125 |   42 | Male   | Sweater        | Clothing    |              20 | Iowa           | M    | Orange    | Spring |           4.9 | No      | Express        | Yes              |                 40 | Cash           | Quarterly              | Adult       |                      90 |
|        1126 |   27 | Male   | Sandals        | Footwear    |              90 | North Dakota   | M    | Lavender  | Summer |           2.7 | No      | 2-Day Shipping | Yes              |                 10 | Bank Transfer  | Weekly                 | Young Adult |                       7 |
|        1127 |   23 | Male   | Scarf          | Accessories |              58 | Iowa           | L    | Beige     | Winter |           3.4 | No      | Standard       | Yes              |                 47 | Venmo          | Fortnightly            | Young Adult |                      14 |
|        1128 |   50 | Male   | Shirt          | Clothing    |              53 | Delaware       | XL   | Maroon    | Spring |           4.8 | No      | Store Pickup   | Yes              |                 22 | Debit Card     | Monthly                | Middle-Aged |                      30 |
|        1129 |   56 | Male   | Gloves         | Accessories |              30 | New York       | L    | Charcoal  | Winter |           4.7 | No      | Next Day Air   | Yes              |                 35 | Debit Card     | Monthly                | Middle-Aged |                      30 |
|        1130 |   37 | Male   | Hoodie         | Clothing    |              65 | New Hampshire  | XL   | White     | Winter |           4.7 | No      | Express        | Yes              |                 46 | Venmo          | Fortnightly            | Adult       |                      14 |
|        1131 |   67 | Male   | Jewelry        | Accessories |              41 | Kentucky       | M    | Lavender  | Summer |           3.9 | No      | Standard       | Yes              |                 30 | PayPal         | Bi-Weekly              | Senior      |                      14 |
|        1132 |   67 | Male   | Shirt          | Clothing    |              73 | Illinois       | M    | Black     | Spring |           3.7 | No      | Express        | Yes              |                 20 | Bank Transfer  | Monthly                | Senior      |                      30 |
|        1133 |   50 | Male   | Hoodie         | Clothing    |              98 | North Carolina | S    | Teal      | Spring |           4.3 | No      | Store Pickup   | Yes              |                 25 | Cash           | Fortnightly            | Middle-Aged |                      14 |
|        1134 |   36 | Male   | Shoes          | Footwear    |              36 | Connecticut    | XL   | Magenta   | Winter |           4.1 | No      | 2-Day Shipping | Yes              |                 29 | Cash           | Weekly                 | Adult       |                       7 |
|        1135 |   62 | Male   | T-shirt        | Clothing    |              81 | Wisconsin      | M    | Brown     | Summer |           4.6 | No      | Express        | Yes              |                  2 | Venmo          | Every 3 Months         | Senior      |                      90 |
|        1136 |   65 | Male   | Skirt          | Clothing    |              90 | Massachusetts  | L    | Peach     | Winter |           3.6 | No      | 2-Day Shipping | Yes              |                 32 | Bank Transfer  | Quarterly              | Senior      |                      90 |
|        1137 |   23 | Male   | Handbag        | Accessories |              83 | Illinois       | S    | Cyan      | Summer |           4.8 | No      | Free Shipping  | Yes              |                 37 | Cash           | Monthly                | Young Adult |                      30 |
|        1138 |   46 | Male   | Shirt          | Clothing    |              91 | New Mexico     | XL   | Pink      | Winter |           2.8 | No      | 2-Day Shipping | Yes              |                 16 | Bank Transfer  | Every 3 Months         | Middle-Aged |                      90 |
|        1139 |   18 | Male   | Pants          | Clothing    |              36 | Iowa           | M    | Purple    | Summer |           4.7 | No      | Express        | Yes              |                 32 | Venmo          | Fortnightly            | Young Adult |                      14 |
|        1140 |   58 | Male   | Coat           | Outerwear   |              53 | Alabama        | L    | Purple    | Spring |           3.9 | No      | Standard       | Yes              |                 42 | Debit Card     | Bi-Weekly              | Senior      |                      14 |
|        1141 |   31 | Male   | Jeans          | Clothing    |              39 | Maryland       | M    | White     | Winter |           2.6 | No      | Store Pickup   | Yes              |                  6 | Credit Card    | Every 3 Months         | Young Adult |                      90 |
|        1142 |   39 | Male   | Gloves         | Accessories |              33 | Ohio           | S    | Silver    | Winter |           4.7 | No      | Next Day Air   | Yes              |                 23 | PayPal         | Fortnightly            | Adult       |                      14 |
|        1143 |   69 | Male   | T-shirt        | Clothing    |              76 | Ohio           | L    | Green     | Spring |           3.5 | No      | Store Pickup   | Yes              |                 27 | Venmo          | Bi-Weekly              | Senior      |                      14 |
|        1144 |   68 | Male   | Boots          | Footwear    |              23 | Nevada         | L    | Teal      | Winter |           4.4 | No      | Standard       | Yes              |                 43 | PayPal         | Quarterly              | Senior      |                      90 |
|        1145 |   41 | Male   | Jeans          | Clothing    |              54 | South Carolina | S    | Indigo    | Fall   |           4.4 | No      | 2-Day Shipping | Yes              |                 25 | Bank Transfer  | Fortnightly            | Adult       |                      14 |
|        1146 |   31 | Male   | Sneakers       | Footwear    |              89 | Nevada         | L    | Pink      | Summer |             3 | No      | Express        | Yes              |                 30 | Cash           | Every 3 Months         | Young Adult |                      90 |
|        1147 |   48 | Male   | Sneakers       | Footwear    |              38 | Wisconsin      | M    | Indigo    | Summer |           4.2 | No      | Standard       | Yes              |                  7 | Bank Transfer  | Every 3 Months         | Middle-Aged |                      90 |
|        1148 |   59 | Male   | Hat            | Accessories |              36 | Tennessee      | XL   | Red       | Winter |           4.3 | No      | Next Day Air   | Yes              |                 17 | Debit Card     | Annually               | Senior      |                     365 |
|        1149 |   34 | Male   | Pants          | Clothing    |              66 | Florida        | M    | Violet    | Spring |           2.6 | No      | Store Pickup   | Yes              |                 10 | PayPal         | Fortnightly            | Adult       |                      14 |
|        1150 |   21 | Male   | Jewelry        | Accessories |              42 | Georgia        | L    | Cyan      | Spring |           3.3 | No      | Store Pickup   | Yes              |                 40 | Venmo          | Annually               | Young Adult |                     365 |
|        1151 |   29 | Male   | Jewelry        | Accessories |              36 | Kentucky       | S    | Red       | Winter |           2.7 | No      | Next Day Air   | Yes              |                 50 | Venmo          | Bi-Weekly              | Young Adult |                      14 |
|        1152 |   41 | Male   | Blouse         | Clothing    |              86 | Ohio           | M    | Gray      | Spring |           4.2 | No      | Express        | Yes              |                 24 | Credit Card    | Weekly                 | Adult       |                       7 |
|        1153 |   62 | Male   | Handbag        | Accessories |              49 | Connecticut    | M    | Gold      | Fall   |             4 | No      | Standard       | Yes              |                  8 | PayPal         | Every 3 Months         | Senior      |                      90 |
|        1154 |   27 | Male   | Shirt          | Clothing    |              41 | Idaho          | M    | Pink      | Summer |             4 | No      | Free Shipping  | Yes              |                  6 | Bank Transfer  | Quarterly              | Young Adult |                      90 |
|        1155 |   49 | Male   | Dress          | Clothing    |              82 | Georgia        | L    | Cyan      | Spring |           2.9 | No      | 2-Day Shipping | Yes              |                 44 | Credit Card    | Bi-Weekly              | Middle-Aged |                      14 |
|        1156 |   67 | Male   | T-shirt        | Clothing    |              53 | Tennessee      | S    | Red       | Fall   |           2.6 | No      | Express        | Yes              |                 47 | PayPal         | Quarterly              | Senior      |                      90 |
|        1157 |   20 | Male   | Shoes          | Footwear    |              21 | Hawaii         | M    | Gold      | Summer |           4.8 | No      | Express        | Yes              |                  6 | Venmo          | Every 3 Months         | Young Adult |                      90 |
|        1158 |   37 | Male   | Belt           | Accessories |              66 | Maryland       | M    | Charcoal  | Fall   |           4.4 | No      | Standard       | Yes              |                 11 | Cash           | Quarterly              | Adult       |                      90 |
|        1159 |   69 | Male   | Belt           | Accessories |              89 | Nevada         | L    | Orange    | Summer |             4 | No      | 2-Day Shipping | Yes              |                 41 | Bank Transfer  | Annually               | Senior      |                     365 |
|        1160 |   66 | Male   | Handbag        | Accessories |              55 | New Hampshire  | L    | Blue      | Fall   |           3.6 | No      | 2-Day Shipping | Yes              |                 46 | Venmo          | Every 3 Months         | Senior      |                      90 |
|        1161 |   37 | Male   | Scarf          | Accessories |              42 | North Dakota   | S    | Blue      | Summer |           3.2 | No      | Next Day Air   | Yes              |                  9 | Venmo          | Bi-Weekly              | Adult       |                      14 |
|        1162 |   63 | Male   | Shorts         | Clothing    |              52 | Oklahoma       | S    | Orange    | Fall   |           3.1 | No      | 2-Day Shipping | Yes              |                 37 | PayPal         | Monthly                | Senior      |                      30 |
|        1163 |   47 | Male   | Sandals        | Footwear    |              92 | North Carolina | M    | Blue      | Winter |           4.2 | No      | Express        | Yes              |                 13 | PayPal         | Weekly                 | Middle-Aged |                       7 |
|        1164 |   26 | Male   | Pants          | Clothing    |              56 | Tennessee      | L    | White     | Summer |             3 | No      | 2-Day Shipping | Yes              |                 24 | Debit Card     | Monthly                | Young Adult |                      30 |
|        1165 |   68 | Male   | Dress          | Clothing    |              96 | Montana        | M    | Green     | Winter |           4.2 | No      | Standard       | Yes              |                 47 | PayPal         | Quarterly              | Senior      |                      90 |
|        1166 |   51 | Male   | T-shirt        | Clothing    |              64 | Wisconsin      | M    | Silver    | Winter |           2.9 | No      | Next Day Air   | Yes              |                 21 | Venmo          | Every 3 Months         | Middle-Aged |                      90 |
|        1167 |   48 | Male   | Dress          | Clothing    |              48 | Connecticut    | S    | Lavender  | Winter |           3.7 | No      | Store Pickup   | Yes              |                 22 | Venmo          | Fortnightly            | Middle-Aged |                      14 |
|        1168 |   60 | Male   | Socks          | Clothing    |              83 | New Jersey     | XL   | Beige     | Summer |           3.6 | No      | Free Shipping  | Yes              |                 16 | PayPal         | Quarterly              | Senior      |                      90 |
|        1169 |   68 | Male   | Scarf          | Accessories |              91 | Mississippi    | L    | Violet    | Summer |           3.6 | No      | Standard       | Yes              |                 37 | Debit Card     | Fortnightly            | Senior      |                      14 |
|        1170 |   25 | Male   | Backpack       | Accessories |              94 | Wyoming        | S    | Gray      | Fall   |           4.5 | No      | 2-Day Shipping | Yes              |                  3 | Cash           | Annually               | Young Adult |                     365 |
|        1171 |   57 | Male   | Skirt          | Clothing    |              62 | Illinois       | S    | Red       | Spring |           3.2 | No      | Express        | Yes              |                 33 | Cash           | Bi-Weekly              | Middle-Aged |                      14 |
|        1172 |   41 | Male   | Socks          | Clothing    |              55 | Louisiana      | M    | Lavender  | Spring |           3.9 | No      | Next Day Air   | Yes              |                 15 | Debit Card     | Annually               | Adult       |                     365 |
|        1173 |   59 | Male   | Coat           | Outerwear   |              68 | Oregon         | L    | Peach     | Spring |           4.6 | No      | Store Pickup   | Yes              |                 42 | Bank Transfer  | Bi-Weekly              | Senior      |                      14 |
|        1174 |   44 | Male   | Jewelry        | Accessories |              76 | South Dakota   | M    | Indigo    | Winter |           2.5 | No      | Express        | Yes              |                 42 | Cash           | Bi-Weekly              | Adult       |                      14 |
|        1175 |   42 | Male   | Backpack       | Accessories |              31 | Michigan       | M    | Black     | Winter |           4.3 | No      | Express        | Yes              |                 19 | Bank Transfer  | Bi-Weekly              | Adult       |                      14 |
|        1176 |   35 | Male   | Belt           | Accessories |              81 | New Jersey     | M    | Beige     | Spring |           4.1 | No      | Store Pickup   | Yes              |                 26 | PayPal         | Quarterly              | Adult       |                      90 |
|        1177 |   36 | Male   | Dress          | Clothing    |              83 | Oregon         | M    | Red       | Winter |           4.6 | No      | Free Shipping  | Yes              |                 39 | PayPal         | Quarterly              | Adult       |                      90 |
|        1178 |   54 | Male   | Skirt          | Clothing    |              21 | Iowa           | M    | Black     | Spring |           4.8 | No      | Standard       | Yes              |                 24 | Debit Card     | Monthly                | Middle-Aged |                      30 |
|        1179 |   37 | Male   | Dress          | Clothing    |              22 | South Carolina | M    | Teal      | Spring |           4.9 | No      | Express        | Yes              |                 23 | Debit Card     | Annually               | Adult       |                     365 |
|        1180 |   20 | Male   | T-shirt        | Clothing    |              33 | Indiana        | M    | Blue      | Summer |           2.8 | No      | Free Shipping  | Yes              |                 44 | Bank Transfer  | Annually               | Young Adult |                     365 |
